,ZCTA5CE10,INTPTLAT10,INTPTLON10
649,95943,+39.5848072,-122.0322971
650,95944,+39.4952660,-120.9438112
651,95945,+39.1963867,-120.9722894
652,95946,+39.2155858,-121.2032398
653,95947,+40.1745661,-120.8197556
654,95948,+39.3392635,-121.7707851
655,95949,+39.0992301,-121.1388483
656,95950,+39.0434473,-121.9180988
657,95951,+39.7225122,-122.0044327
658,95953,+39.2590870,-121.7765588
659,95954,+39.8846537,-121.5867885
660,95955,+39.2945158,-122.2017152
661,95956,+39.8382880,-121.1342345
662,95957,+39.0609213,-121.8271551
663,95959,+39.3478111,-120.9187284
664,95960,+39.4032165,-121.0344858
665,95961,+39.0413331,-121.5628346
666,95962,+39.3447910,-121.2645524
667,95963,+39.7361738,-122.2594816
668,95965,+39.5939448,-121.5813626
669,95966,+39.4753603,-121.4141104
670,33605,+27.9511221,-082.4296797
671,37362,+35.0312838,-084.6808572
672,33606,+27.9174523,-082.4522793
673,37363,+35.1071764,-085.0630636
674,37365,+35.3825297,-085.5597422
675,23085,+37.6889537,-076.8256452
676,43777,+39.8187328,-082.1138678
677,43778,+39.9992905,-081.3788617
678,49946,+46.7208942,-088.3215922
679,43779,+39.8195698,-081.4277660
680,23086,+37.6685728,-077.0544136
681,49947,+46.3854174,-089.6163563
682,43780,+39.9086931,-081.4379517
683,23089,+37.4557955,-076.9035007
684,43782,+39.6217952,-082.2124666
685,23091,+37.6562637,-076.8024918
686,49948,+46.7111754,-089.0200146
687,23092,+37.6067689,-076.5147485
688,43783,+39.8044797,-082.2785808
689,43786,+39.7104644,-081.2770123
690,49950,+47.3863184,-088.1337412
691,49952,+46.7013624,-088.7849452
692,43787,+39.5239636,-081.8018220
693,53537,+42.6723955,-089.2105063
694,61858,+40.1342579,-087.7618765
695,61859,+40.1504277,-087.9629048
696,61862,+40.3060274,-087.9586058
697,61863,+39.9052548,-088.2784716
698,53538,+42.9200497,-088.8571315
699,53540,+43.2292617,-090.2849151
700,61864,+39.9750645,-088.1527230
701,53541,+42.5661440,-090.0293722
702,61865,+40.3049246,-087.8024644
703,53543,+43.0575679,-090.3454599
704,53544,+42.8775596,-089.9056628
705,61866,+40.3125868,-088.1545487
706,53545,+42.7387349,-089.0402237
707,61870,+39.8975493,-087.6183889
708,61871,+40.1902245,-087.9680397
709,61872,+39.9453764,-088.3781095
710,61873,+40.1338964,-088.0391224
711,61874,+40.0475737,-088.2567836
712,61875,+40.1034847,-088.4164201
713,53546,+42.6522444,-088.9481662
714,61876,+39.9013273,-087.8361740
715,61877,+39.9891919,-088.0816006
716,61878,+40.2426506,-088.1454535
717,61880,+39.9737955,-088.2489060
718,53548,+42.6829850,-089.1246732
719,61882,+40.1062297,-088.7547293
720,37714,+36.2603357,-084.2929680
721,37715,+36.5542252,-083.9605185
722,33823,+28.0857348,-081.8137314
723,37716,+36.1008826,-084.1686912
724,37719,+36.0224147,-084.4293813
725,37721,+36.1184202,-083.8125842
726,37722,+35.8148986,-083.2025242
727,02568,+41.4586451,-070.6125215
728,02571,+41.7611873,-070.6959913
729,02575,+41.4002519,-070.6569337
